,DateRead,influent_mgd,treatFlow_mgd,ammonia_ppm,nitrate_ppm,rain_inches,cluster
55,2018-08-22,380.806244,463.006897,0.421836,2.834943,0.02,0
56,2018-09-08,386.955597,465.903748,1.020276,3.182444,0.45,0
57,2018-09-09,476.993164,521.138733,0.085798,3.028036,1.59,0
58,2018-09-10,390.928101,466.65097,0.080599,2.682968,0.02,0
59,2018-09-11,344.715912,345.91333,0.338636,2.698323,0.0,0
60,2018-09-12,364.569244,364.572327,0.089302,2.897062,0.01,0
61,2018-09-13,357.647247,357.65033,0.089956,3.189546,0.0,0
62,2018-09-17,360.457336,360.461334,0.088994,2.857784,1.26,0
63,2018-09-18,492.456299,531.615234,0.819626,3.260972,0.22,0
64,2018-09-19,358.894318,377.617706,0.089056,2.690227,0.0,0
65,2018-09-21,332.937042,332.940613,0.088199,2.756414,0.28,0
66,2018-09-23,405.092743,405.095856,0.097841,2.995996,0.71,0
67,2018-09-24,402.308655,413.805908,0.09561,3.146124,0.29,0
68,2018-09-25,419.298615,419.301422,0.088709,3.088892,0.1,0
69,2018-09-26,398.021881,398.024384,0.093319,3.031519,0.19,0
70,2018-09-27,410.754089,440.7966,0.15497,3.163284,0.59,0
71,2018-09-28,499.958862,528.769836,0.124007,3.129769,0.31,0
72,2018-09-29,381.09317,387.394501,0.090248,2.821102,0.0,0
73,2018-09-30,345.335724,345.338806,0.090458,2.85341,0.0,0
74,2018-10-01,348.737335,349.367371,0.092013,3.06764,0.0,0
75,2018-10-02,341.484497,341.487,0.092615,3.321754,0.0,0
76,2018-10-11,371.875549,378.948669,0.08901,3.23107,1.51,0
77,2018-10-12,375.480621,433.450012,0.43751,3.2791,0.0,0
78,2018-10-27,442.474731,442.844635,0.228696,2.922217,0.49,0
79,2018-11-03,366.512634,407.693939,0.785063,3.584703,0.03,0
80,2018-11-05,418.428497,450.554199,0.776897,4.043745,1.44,0
81,2018-11-06,447.628906,492.157471,1.023889,3.994117,0.79,0
82,2018-11-07,363.74411,389.971985,1.031673,4.172392,0.0,0
83,2018-11-09,376.968018,377.275604,0.969164,3.591275,0.54,0
84,2018-11-12,342.93927,343.941833,1.485801,4.106992,0.6,0
85,2018-11-13,470.815643,503.438965,1.238538,4.732038,0.34,0
86,2018-11-14,339.093811,339.350098,0.198264,2.712329,0.0,0
87,2018-11-15,419.476074,420.975861,0.318966,2.92397,1.15,0
88,2018-11-16,476.95755,520.184021,0.36403,3.06513,0.05,0
89,2018-11-17,349.420837,350.091919,0.09935,2.664629,0.0,0
90,2018-11-24,382.00824,387.633118,0.371553,2.722921,1.42,0
91,2018-11-25,382.448883,461.020966,0.529781,2.923611,0.0,0
92,2018-11-26,408.579285,411.085449,0.111334,2.728486,0.45,0
93,2018-11-27,344.141113,364.39389,0.105776,2.78124,0.0,0
94,2018-12-02,334.046753,334.04953,0.134466,2.666039,0.11,0
95,2018-12-15,480.585144,482.294861,1.968481,2.997303,2.55,0
96,2018-12-16,527.380554,530.998352,0.217289,2.416364,0.6,0
97,2018-12-17,438.642181,466.320313,0.208706,2.460123,0.0,0
98,2018-12-18,363.839233,363.844025,0.128686,2.740129,0.0,0
99,2018-12-19,339.907928,339.911835,0.145402,2.714924,0.0,0
100,2018-12-20,371.935394,371.940033,0.166003,2.655403,0.36,0
101,2018-12-21,406.893738,415.731903,0.873289,2.949145,0.17,0
102,2018-12-22,346.503601,346.508484,0.199463,2.458994,0.0,0
103,2018-12-28,470.048828,485.146179,1.326577,2.716309,1.02,0
104,2018-12-29,352.071106,376.413086,1.351661,2.28502,0.0,0
105,2018-12-31,389.619568,389.668091,1.848162,3.129216,0.48,0
106,2019-01-01,353.501434,353.506378,1.2293,2.837594,0.0,0
107,2019-01-02,335.949921,356.874756,0.111504,2.510368,0.0,0
108,2019-01-08,333.639587,333.644989,0.21353,2.893736,0.24,0
109,2019-01-18,337.530029,337.536255,0.15323,3.008785,0.02,0
110,2019-01-19,360.3685,360.374756,0.138998,2.772773,0.61,0
111,2019-01-20,474.051575,511.325958,0.948103,3.116655,0.19,0
112,2019-01-21,356.167938,356.174438,0.162368,2.591044,0.0,0
113,2019-01-22,335.52829,335.53418,0.149664,2.418303,0.0,0
114,2019-01-23,335.925049,335.931061,0.216848,2.506085,0.0,0
115,2019-01-24,469.61554,480.236511,0.324251,3.029656,1.03,0
116,2019-01-25,378.856781,422.414764,0.370277,2.919855,0.0,0
117,2019-01-26,337.595642,337.59787,0.221915,2.750879,0.0,0
118,2019-01-29,339.636963,339.638672,0.657527,2.668344,0.2,0
119,2019-02-11,375.874451,375.88028,0.379586,3.20789,0.35,0
120,2019-02-12,454.389282,454.394165,0.647419,3.178581,0.68,0
121,2019-02-13,362.910034,362.915558,0.91394,2.940256,0.0,0
122,2019-02-14,339.401459,339.407471,0.185889,2.656339,0.0,0
