,DateRead,ammonia_ppm,nitrate_ppm,phosphorus_ppm,influent_mgd,treated_mgd,time,performance,nitrate_load,nitrate_man,nitrate_man3,smooth_nitrate_load
346,2012-11-03 10:00:00,0.099455,1.570109,0.015444,202.05751,202.05751,14.416666666666666,100.0,2645.8843068380406,6098.145700967128,4270.895026349055,6098.145700967128
347,2012-11-03 11:00:00,0.095966,1.624125,0.014976,224.558823,224.558823,14.458333333333334,100.0,3041.6947306966576,6029.100473084545,4189.644490373504,6029.100473084545
348,2012-11-03 12:00:00,0.101145,1.648483,0.015313,267.947418,267.947418,14.5,100.0,3683.834407313896,5969.352358236787,4132.247002389661,5969.352358236787
349,2012-11-03 13:00:00,0.101471,1.743342,0.016774,277.371155,277.371155,14.541666666666666,100.0,4032.830219394083,5923.641999218329,4109.826372635873,5923.641999218329
350,2012-11-03 14:00:00,0.097873,1.748962,0.01722,284.247314,284.247314,14.583333333333334,100.0,4146.128841572487,5885.825763621844,4105.976564973783,5885.825763621844
351,2012-11-03 15:00:00,0.099455,1.747522,0.016883,333.538147,333.538147,14.625,100.0,4861.096182679262,5851.031825180857,4107.984178803717,5851.031825180857
352,2012-11-03 16:00:00,0.097765,1.68842,0.01722,351.254944,351.254944,14.666666666666666,100.0,4946.169377054323,5831.233112330825,4145.639778997494,5831.233112330825
353,2012-11-03 17:00:00,0.103052,1.684875,0.015804,332.172791,332.172791,14.708333333333334,100.0,4667.644724509283,5813.531837625294,4185.666258900335,5813.531837625294
354,2012-11-03 18:00:00,0.103378,1.693512,0.015357,281.350739,281.350739,14.75,100.0,3973.766911562768,5790.614095362974,4209.765182180783,5790.614095362974
355,2012-11-03 19:00:00,0.097982,2.161977,0.017133,265.743622,265.743622,14.791666666666666,100.0,4791.5935328301875,5754.27715168697,4197.965268649882,5754.27715168697
356,2012-11-03 20:00:00,0.101254,2.181302,0.017242,285.493073,285.493073,14.833333333333334,100.0,5193.706736749523,5735.023479309833,4227.646681858897,5735.023479309833
357,2012-11-03 21:00:00,0.103269,1.868433,0.015444,306.351135,306.351135,14.875,100.0,4773.787395646935,5724.197144458627,4275.949684603428,5724.197144458627
358,2012-11-03 22:00:00,0.099781,1.805048,0.017133,300.119171,300.119171,14.916666666666666,100.0,4518.0241081892345,5705.188949482393,4300.841570155603,5705.188949482393
359,2012-11-03 23:00:00,0.101362,1.802368,0.015444,296.955231,296.955231,14.958333333333334,100.0,4463.756532263647,5681.445652656529,4311.700697057285,5681.445652656529
360,2012-11-04 00:00:00,0.101471,1.641154,0.015335,294.611664,294.611664,15.0,100.0,4032.4159442409355,5657.0918702486715,4319.303488817603,5657.0918702486715
361,2012-11-04 01:00:00,0.101471,1.63003,0.015695,294.543396,294.543396,15.041666666666666,100.0,4004.155528660879,5624.598351728517,4304.959111588769,5624.598351728517
362,2012-11-04 01:00:00,0.099673,1.520548,0.014998,292.018738,292.018738,15.083333333333334,100.0,3703.197756957056,5592.189495267164,4289.918932442374,5592.189495267164
363,2012-11-04 02:00:00,0.099564,1.433369,0.017111,260.134369,260.134369,15.125,100.0,3109.7236265954025,5554.409660500962,4260.582873668108,5554.409660500962
364,2012-11-04 03:00:00,0.097765,1.499059,0.017242,210.447495,210.447495,15.166666666666666,100.0,2631.0465831360893,5505.515939822851,4203.039911314472,5505.515939822851
365,2012-11-04 04:00:00,0.099455,1.447159,0.015444,206.224121,206.224121,15.208333333333334,100.0,2488.9820333034736,5448.026552689115,4124.440244905553,5448.026552689115
366,2012-11-04 05:00:00,0.10496,1.416438,0.016054,206.250275,206.250275,15.25,100.0,2436.453663350553,5388.845662301402,4042.6673343254492,5388.845662301402
367,2012-11-04 06:00:00,0.09989,1.419114,0.017537,188.787155,188.787155,15.291666666666666,100.0,2234.3735256367877,5329.7978223223845,3962.3566507767046,5329.7978223223845
368,2012-11-04 07:00:00,0.108557,1.379069,0.017624,180.828827,180.828827,15.333333333333334,100.0,2079.7910830480055,5267.889336388673,3875.9574945197082,5267.889336388673
369,2012-11-04 08:00:00,0.098308,1.432785,0.016905,181.20932,181.20932,15.375,100.0,2165.3475229387077,5204.127371321859,3786.149173946123,5204.127371321859
370,2012-11-04 09:00:00,0.108448,1.403051,0.01758,185.619766,185.619766,15.416666666666666,100.0,2172.0195458725907,5143.351774354195,3705.1090913957523,5143.351774354195
371,2012-11-04 10:00:00,0.105503,1.497503,0.017624,194.460052,194.460052,15.458333333333334,100.0,2428.645623826301,5083.925129784563,3628.454614119594,5083.925129784563
372,2012-11-04 11:00:00,0.105286,1.474507,0.016185,223.13652,223.13652,15.5,100.0,2743.9964482016376,5030.819539665397,3568.4641646049295,5030.819539665397
373,2012-11-04 12:00:00,0.107084,1.528915,0.017177,279.039124,279.039124,15.541666666666666,100.0,3558.070032935637,4985.083077836122,3527.240778784765,4985.083077836122
374,2012-11-04 13:00:00,0.096401,1.563955,0.017961,323.417267,323.417267,15.583333333333334,100.0,4218.455832103615,4956.542816938112,3528.7822414923085,4956.542816938112
375,2012-11-04 14:00:00,0.095749,1.642145,0.016566,335.475433,335.475433,15.625,100.0,4594.500203064367,4941.781077241422,3563.265921022874,4941.781077241422
376,2012-11-04 15:00:00,0.104743,1.633773,0.016479,330.080292,330.080292,15.666666666666666,100.0,4497.564082640311,4934.835459757881,3614.8276351249488,4934.835459757881
377,2012-11-04 16:00:00,0.105286,1.59845,0.016839,328.024384,328.024384,15.708333333333334,100.0,4372.917008884031,4926.090032215529,3658.964457500717,4926.090032215529
378,2012-11-04 17:00:00,0.105286,1.48554,0.01758,325.356415,325.356415,15.75,100.0,4030.971939284095,4915.026571748899,3694.6620850698823,4915.026571748899
379,2012-11-04 18:00:00,0.107084,1.378123,0.016545,309.967926,309.967926,15.791666666666666,100.0,3562.6305602113694,4897.345479099603,3711.4775777805926,4897.345479099603
380,2012-11-04 19:00:00,0.107193,1.318812,0.017558,266.39917,266.39917,15.833333333333334,100.0,2930.0957210315737,4870.6511807218385,3704.0352269021314,4870.6511807218385
381,2012-11-04 20:00:00,0.098199,1.265233,0.017983,280.469543,280.469543,15.875,100.0,2959.526739629648,4831.840071528033,3665.3382516086035,4831.840071528033
382,2012-11-04 21:00:00,0.097656,1.257888,0.017646,289.791962,289.791962,15.916666666666666,100.0,3040.145434678775,4794.393804890065,3630.0476760096553,4794.393804890065
383,2012-11-04 22:00:00,0.099455,1.217326,0.017624,294.922119,294.922119,15.958333333333334,100.0,2994.1964710378415,4759.30883748584,3600.5525639431107,4759.30883748584
384,2012-11-04 23:00:00,0.099564,1.145813,0.017624,294.054047,294.054047,16.0,100.0,2810.00412095846,4724.00659015688,3570.234759297847,4724.00659015688
385,2012-11-05 00:00:00,0.097765,1.183406,0.017624,291.269592,291.269592,16.041666666666668,100.0,2874.7161244715353,4685.726540772911,3532.2232273808777,4685.726540772911
