"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2017-02-21","0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","50","H,,S","58",",,W","41",",,W",,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2017-02-22","0.00","T,,W,2400","0.0",",,W,2400","0.0",",,W,2400","51","H,,S","63",",,W","46",",,W",,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2017-02-23","0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","60","H,,S","75",",,W","53",",,W",,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2017-02-24","0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","64","H,,S","77",",,W","54",",,W",,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2017-02-25","0.18",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","63","H,,S","75",",,W","44",",,W","    1",",,W",,,"    1",",,W",,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2017-02-26","0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","44","H,,S","50",",,W","35",",,W",,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2017-02-27","0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","45","H,,S","55",",,W","36",",,W",,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2017-02-28","0.34",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","55","H,,S","68",",,W","47",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2017-03-01","0.02",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","63","H,,S","80",",,W","56",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2017-03-02","0.01",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","54","H,,S","63",",,W","40",",,W",,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2017-03-03","0.00","T,,W,2400","0.0","T,,W,2400","0.0",",,W,2400","40","H,,S","44",",,W","31",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2017-03-04","0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","35","H,,S","44",",,W","26",",,W",,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2017-03-05","0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","32","H,,S","40",",,W","23",",,W",,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2017-03-06","0.00","T,,W,2400","0.0",",,W,2400","0.0",",,W,2400","41","H,,S","54",",,W","33",",,W",,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2017-03-07","0.07",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","56","H,,S","71",",,W","47",",,W",,,,,,,,,,,,,,,,
