t,srtSRTtotal,biothickl21(1),biothickl21(2),profile1xbhl21(1),profile1xbhl21(2),profile1xbhl21(3),profile1xbhl21(4),profile1xbhl21(5),profile1xbhl21(6),profile1xbail21(1),profile1xbail21(2),profile1xbail21(3),profile1xbail21(4),profile1xbail21(5),profile1xbail21(6),profile1xbaal21(1),profile1xbaal21(3),profile1xbaal21(4),profile1xbaal21(5),profile1xbaal21(6),innero2masstransl21(1),innero2masstransl21(2),q11,x11,vss11,scod11,cod11,bod11,snh11,tkn11
days,d,m,m,mgCOD/L,mgCOD/L,mgCOD/L,mgCOD/L,mgCOD/L,mgCOD/L,mgCOD/L,mgCOD/L,mgCOD/L,mgCOD/L,mgCOD/L,mgCOD/L,mgCOD/L,mgCOD/L,mgCOD/L,mgCOD/L,mgCOD/L,kg/d,kg/d,MGD(US),mg/L,mg/L,mgCOD/L,mgCOD/L,mgO2/L,mgN/L,mgN/L
1.45,0.3978,0.0002342,0.0002317,166.1,46750,35670,23380,15520,11890,9.522,2793,12580,13040,9725,7658,2.893,4492,5134,4037,3241,1.26E+31,1.26E+31,27.95,6.936,4.628,14.56,21.8,6.188,2.173,4.04
1.5,0.2251,0.00023,0.000227,116.4,42630,35500,23350,15510,11890,6.683,2587,12630,13090,9745,7664,2.03,4489,5140,4042,3244,1.26E+31,1.26E+31,36.39,9.193,6.173,13.5,23.17,7.538,2.839,4.724
1.55,0.1497,0.0002265,0.0002229,89.41,39320,35250,23310,15500,11880,5.142,2427,12660,13100,9748,7664,1.562,4478,5134,4040,3243,1.26E+31,1.26E+31,36.16,12.44,8.358,12.04,25.16,9.289,3.743,5.676
1.6,0.1399,0.0002261,0.0002222,89.05,39130,34990,23260,15480,11870,5.127,2434,12670,13090,9744,7662,1.556,4464,5122,4036,3241,1.26E+31,1.26E+31,37.49,13.45,8.992,10.85,24.99,10.02,4.429,6.288
1.65,0.1281,0.0002255,0.0002216,85.24,38690,34750,23200,15460,11850,4.91,2417,12680,13070,9736,7658,1.49,4450,5107,4030,3239,1.26E+31,1.26E+31,39.49,14,9.307,9.658,24.31,10.21,4.555,6.317
1.7,0.1143,0.0002246,0.0002207,80.24,38020,34510,23140,15430,11840,4.625,2387,12680,13050,9725,7652,1.402,4435,5089,4022,3236,1.26E+31,1.26E+31,41.85,14.71,9.757,8.569,23.94,10.28,4.371,6.064
1.75,0.1058,0.0002236,0.0002197,75.13,37240,34280,23070,15410,11820,4.332,2350,12680,13010,9712,7646,1.313,4419,5069,4013,3232,1.26E+31,1.26E+31,41.02,15.52,10.33,7.746,24.03,10.42,4.148,5.807
1.8,0.1104,0.0002236,0.0002196,75.83,37360,34060,22990,15380,11800,4.375,2363,12680,12980,9697,7639,1.325,4405,5049,4004,3228,1.26E+31,1.26E+31,39.23,15.45,10.24,7.206,23.36,10.21,3.972,5.571
1.85,0.123,0.000224,0.0002201,78.46,37890,33880,22920,15350,11780,4.528,2394,12690,12950,9684,7632,1.371,4393,5030,3995,3224,1.26E+31,1.26E+31,35.89,14.96,9.861,6.876,22.43,9.873,3.844,5.375
1.9,0.1462,0.000225,0.0002212,84.8,38990,33740,22850,15320,11770,4.896,2452,12700,12930,9673,7626,1.481,4385,5014,3987,3220,1.26E+31,1.26E+31,32.25,14.01,9.216,6.712,21.25,9.438,3.764,5.219
