,influent
126,345.5524016641008
127,332.8518666577009
128,286.18788999649996
129,337.24184666079964
130,298.6771799962003
131,268.7975349982006
132,317.8911983285008
133,319.7190216572999
134,357.24066165179937
135,399.38351333049985
136,384.6049783240989
137,343.8831449933003
138,359.04167832589786
139,379.06339166799984
140,367.0598233210986
141,343.8541433408994
142,351.40503999809937
143,383.3806433251012
144,382.87916999779907
145,323.24374665440035
146,329.83120832370054
147,385.44220164939924
148,367.57075831200245
149,348.8553366622006
150,384.15197999779934
151,388.6082599973983
152,448.15543500989827
153,467.1743666790962
154,456.0347566676987
155,481.0517099934005
156,419.600873324099
157,383.77692998619887
158,388.5437599915981
159,401.840486650999
160,421.76882000910035
161,289.6882366602006
162,304.8901883280985
163,291.1223866660004
164,293.3294183304006
165,289.0973933374005
166,308.1723233320998
167,304.5513666660006
168,287.74998167559966
169,324.4016100109009
170,308.8874933468007
171,356.58461999350146
172,314.6749516720979
173,269.3528216690998
174,282.58311000570035
175,313.88757666689855
176,293.07264332230034
177,342.2289016556995
178,333.3458633177981
179,352.47993498559885
180,314.4625516599979
181,306.46535499639833
182,323.29221166149773
183,316.79976833629996
184,307.5644583252
185,328.29895999440146
186,291.6539816556003
187,294.24741998930074
188,374.9061966706022
189,318.48021500839957
190,316.0802633315985
191,342.1163949957993
192,333.32124999139995
193,325.4316416668988
194,308.1697183211989
195,317.8237349921003
196,352.5955233444041
197,310.829666662499
198,335.8385366484022
199,320.55687832050006
200,313.2887616684006
201,298.7309883249014
202,289.9538850017996
203,259.98106832779825
204,354.983851644999
205,383.9388649764991
206,350.50799331780064
207,347.61369665450104
208,337.5759183211007
209,309.1767616523992
210,317.61836831569946
211,309.9283816660014
212,309.91303833
213,282.67287167029906
214,310.00620666500004
215,293.8243483306006
216,307.83519667000087
217,344.7909083174993
218,326.33111499039893
219,315.95937498599994
220,295.3729950022987
221,323.07091000020085
222,285.7314983295006
223,280.47310167380004
224,288.59158667229985
225,276.5856550056017
226,307.7157566695001
227,275.95074500599975
228,320.75503167040137
229,315.22697165510044
230,331.3773199884
231,330.6808266744001
232,327.12674333530094
233,319.4577149964001
234,326.57766166829987
235,329.52082164879766
236,335.83400830889707
237,351.92819499799975
238,362.5410483338996
239,372.7505249970007
240,372.14943165550125
241,336.93890165890076
242,332.03820665229875
243,329.68432998259965
244,311.7172233344017
245,315.52608499240034
246,313.58031832800043
247,289.6353150075985
248,261.70696000799984
249,302.12822499899886
250,285.32938501120015
251,280.47945000200053
252,385.4018983320989
253,333.9807683128003
254,314.77024499910186
255,289.09261668330055
256,284.7269233354001
257,300.45473666239917
258,305.76805666749965
259,328.78045666549957
260,304.19525666869936
261,295.0968633393998
262,256.6659316655
263,284.0612466677998
264,318.40371166780085
265,290.1935783246006
266,310.71688167980255
267,301.0020183372994
268,289.12464333410014
269,289.68656165700037
270,280.81851666739914
271,306.33138999980065
272,302.68453833140023
273,286.77786499900105
274,264.9424316618978
275,387.89537499329987
276,536.7776050099975
277,525.2546283387983
278,380.6659599928982
279,344.46167333240055
280,366.813508320599
281,415.3488483297995
282,423.45048833589846
283,333.6647366644026
284,267.17127999139785
285,350.7179916701
286,368.51957499400055
287,355.4603383245007
288,356.93973500399954
289,471.4635733271002
290,333.75493834020097
291,362.8504266679985
292,377.3425199910998
293,429.300121676001
294,333.0072499906008
295,338.15764166690036
296,307.4817016703008
297,337.9491549894982
298,306.6375483324987
299,326.52709498970154
300,324.9010116563985
301,337.57572997629717
302,370.90713331179904
303,381.0869866436991
304,355.68993998939953
305,374.06029163979935
306,352.113590011001
307,344.90400166840107
308,344.79011999100027
309,338.15491333560027
310,354.72684000959924
311,395.43344500380095
312,373.0332249985982
313,336.1960399967013
314,351.5842566758993
315,369.58782332220096
316,411.8371066493003
317,384.8018966620999
318,344.7972850130995
319,358.36182333519986
320,338.12057166470106
321,336.2063400059006
322,304.4847983308019
323,320.9849387947
324,362.4794966509014
325,362.2065683262013
326,364.5480933325017
327,358.2398516658
328,372.20088331439877
329,341.0708016672005
330,327.7098766688996
331,382.3058083045993
332,336.84297666219993
333,304.6240250008985
334,313.0329666710001
335,349.90487000210095
336,393.3292133115003
337,358.3171349945014
338,340.93614501539963
339,352.54410333659956
340,319.1793933293992
341,347.77164331009783
342,332.7355766466989
343,324.75977001309917
344,330.36891000650115
345,339.9478683342005
346,308.0616399981993
347,309.92336666009896
348,271.4097166659021
349,299.5256216676004
350,308.11293666800105
351,284.6079116753007
352,261.52011333759833
353,305.47115000420024
354,291.59871333670134
355,284.2824066631997
356,288.1091533347006
357,248.4128033411
358,289.2951183346003
359,298.47160665840084
360,297.64139000220064
361,304.6613800054002
362,262.9347733413004
363,260.5027233326997
364,255.4055550069001
365,301.5650616754003
366,268.5866066680983
367,302.46381666590065
368,302.97128000130033
369,254.71599333210048
370,301.48428832410076
