,mean_prcp_imp,prcp_1yr,prcp_2yr,prcp_5yr,int_one,int_two,int_five,influent_flow_imp,complete_flow_imp,ammonia_ppm_imp,nitrate_ppm_imp,nitrite_ppm_imp,TIN,performance,Label
105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.32,531.48,1.642608,3.769226,0.035934,5.447768,79.296875,440.32000732421875
106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,452.6,537.45,1.642608,3.769226,0.035934,5.447768,81.25276182059213,452.6000061035156
107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,465.99,537.59,1.642608,3.769226,0.035934,5.447768,84.63486340908602,465.989990234375
108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,457.4,534.64,1.642608,3.769226,0.035934,5.447768,83.11324879755138,457.3999938964844
109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,456.06,535.45,1.642608,3.769226,0.03588,5.4477139999999995,82.59220278033591,455.915498046875
110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,456.08,535.65,1.408691,3.770716,0.029449,5.208856,82.55349938607263,456.0799865722656
111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,451.55,535.06,1.161957,3.772278,0.029449,4.963684,81.50592403941978,451.54998779296875
112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,447.5,535.2,1.161957,3.772278,0.029449,4.963684,80.4022346368715,447.5
113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,443.71,535.35,1.161957,3.772278,0.029449,4.963684,79.34687070383808,443.7099914550781
114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436.72,532.5,1.161957,3.772278,0.029449,4.963684,78.06832753251511,436.708801574707
115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,430.19,529.64,1.161957,3.772278,0.029487,4.963722,76.88230781747599,430.19000244140625
116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,425.37,525.26,0.940107,3.78569,0.034026999999999995,4.759824,76.51691468603805,425.3699951171875
117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,416.54,516.59,0.7061,3.799743,0.034026999999999995,4.53987,75.98069813223219,416.5400085449219
118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,416.33,516.35,0.7061,3.799743,0.034026999999999995,4.53987,75.97578843705712,416.3299865722656
119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,411.51,511.63,0.7061,3.799743,0.034026999999999995,4.53987,75.67009307185731,411.510009765625
